sentence,stance_type,cue,start,end,section,page
Schmitt’s (2008) review of instructed L2 vocabulary learning also clearly shows that ‘engagement’ with target vocabulary fosters learning.,boosting,shows,14,15,,
"A metaphor-based word list encourages deep processing, which has been shown to aid successful recall, as words which are semantically processed via elaborative rehearsal and deep processing are more accurately recalled (cf.",boosting,shown,11,12,,
"Kövecses (2001) suggests that the most common and frequently-used idioms are based on the source domain of the human body and should be taught first and predominantly, but which part of the body?",hedging,suggests,4,5,,
"For instance, Carter and McCarthy (1988) encourage the kind of figurative language competence that native speakers have and point out that an over-reliance on literal readings may lead learners to overlook the evaluative or connotative aspects of figurative language.",hedging,may,29,30,,
"Metaphor has been shown to play an important role in vocabulary acquisition in terms of extending lexical relations (Lewis, 1993; MacLennan, 1994; Mahpeykar & Tyler, 2014; Sweetser, 1990; Taylor, 2003).",boosting,shown,3,4,,
"Littlemore (2001a), on the other hand, suggests that MC consists of four components: the original character of metaphor production, the mastery of metaphor comprehension, the ability to figure out the meaning of a metaphor and the speed in doing so.",hedging,suggests,10,11,,
"Although researchers seem to differ about the composition of MC, they agree on the significance of this ‘competence’ in language learning.",hedging,seem,2,3,,
"Furthermore, what has been labelled as MC might just be an individual learner’s metaphorical preference (Littlemore, 2010).",hedging,might,8,9,,
"The extent to which conceptual fluency may determine linguistic competence probably is not as strong as suggested (Littlemore, 2001a).",hedging,may,6,7,,
"The extent to which conceptual fluency may determine linguistic competence probably is not as strong as suggested (Littlemore, 2001a).",hedging,suggested,16,17,,
"Most importantly, there seems to be an assumption of a magic short-cut to L2 figurative language development via the introduction of MC and conceptual fluency.",attitude,importantly,1,2,,
"Most importantly, there seems to be an assumption of a magic short-cut to L2 figurative language development via the introduction of MC and conceptual fluency.",hedging,seems,4,5,,
"Metaphors as Challenges to L2 Learners In line with studies that highlight the importance of metaphor in L2 learning, another line of research demonstrates how difficult it is for language learners to grasp metaphors in the target language.",boosting,demonstrates,24,25,,
"For instance, Low (1988) hypothesises that learners may have difficulties with the transfer between the Topic and the Vehicle of a metaphor.",hedging,may,10,11,,
"It is suggested that despite their knowledge and experience of the target language, L2 learners generally have problems processing figurative language due to the lack of what Littlemore and Low (2006a) call “native speaker competence” (p. 3), which consists of awareness of cultural conventions, cultural connotations and figurative language repertoire.",hedging,suggested,2,3,,
"It is suggested that despite their knowledge and experience of the target language, L2 learners generally have problems processing figurative language due to the lack of what Littlemore and Low (2006a) call “native speaker competence” (p. 3), which consists of awareness of cultural conventions, cultural connotations and figurative language repertoire.",hedging,generally,16,17,,
"However, if international students are exposed only to structured (and unnatural) communication situations in an academic environment, they might be more likely to have problems behaving in a culturally appropriate way in real life.",hedging,might,22,23,,
"However, if international students are exposed only to structured (and unnatural) communication situations in an academic environment, they might be more likely to have problems behaving in a culturally appropriate way in real life.",hedging,likely,25,26,,
"Generally, the metaphors that learners produce are said to be unidiomatic (Kathpalia & Heah, 2011), causing a high degree of literalness and “no sign of the conceptual system in English” (Hashemian & Talebi Nezhad, 2007, p. 51) in learner written discourse.",hedging,generally,0,1,,
"The benefits of encouraging metaphor production, as she notes, are: insights into how the first (L1) and second language (L2) systems interact, how the privilege of access to two linguistic and conceptual systems may favour, rather than necessarily hinder, the bilingual’s metaphoric production, and to what extent the resulting metaphors are felicitous in the context of inter-cultural communication.",hedging,may,41,42,,
"(p. 156) When piloting with English language teachers to find out the extent to which native speakers tolerate atypical metaphorical language use, Boers (2004) found that novel metaphors were likely to be accepted as correct rather than deviant.",hedging,likely,34,35,,
"The communicative ‘risk’ of producing metaphors that Kecskés and Papp (2000) discuss may be present due to the cross-linguistic variety of linguistic instantiations of a given conceptual metaphor or the L1 interference (Boers, 2004).",hedging,may,16,17,,
"Alternatively, there might be some unknown causes.",hedging,might,3,4,,
"Given that L2 learners enter the target language realm equipped with a fully figurative mind, it is surprising that learners’ productive use of metaphor has not been given due attention.",attitude,it is surprising that,16,20,,
"A Brief Overview of Metaphor Processing In terms of the order of access, current scholarship generally rejects the traditional view which holds that literality plays an essential part in the initial stage, i.e., literal meaning needs to be accessed and analysed first and if rejected, metaphorical meaning will be activated (e.g., Sadock, 1993; Searle, 1993; see Gibbs, 1994 for a review).",hedging,generally,16,17,,
"Several psychological experiments have suggested that both literal and figurative meaning, which are stored in and retrieved from the mental lexicon as individual vocabulary items, are compulsory and are activated simultaneously and in the same manner (Glucksberg, 2001; Glucksberg, Gildea, & Bookin, 1982), regardless of context conditions (Turner & Katz, 1997).",hedging,suggested,4,5,,
"Cacciari and Tabossi (1988), for example, show that the moment a recognition point of an idiom (the key word of an idiomatic phrase) is specified, a configuration of lexical items of the idiomatic string emerges without the remaining lexical items being accessed literally.",boosting,show,10,11,,
"Context may affect comprehension, but it is secondary to salient meaning and cannot prevent the activation of the salient meaning from the initial stages of figurative language comprehension.",hedging,may,1,2,,
"Generally, as Gibbs and Colston (2012) have shown, the role of literal meaning in figurative language understanding has not been made clear in the literature.",hedging,generally,0,1,,
"Generally, as Gibbs and Colston (2012) have shown, the role of literal meaning in figurative language understanding has not been made clear in the literature.",boosting,shown,10,11,,
"Paivio and Walsh (1993) particularly stress the importance of images in their dual coding theory, according to which images construct integrated informational structures analogous to the integrated representation that appears in metaphor comprehension.",hedging,appears,32,33,,
"Gibbs and associates, in another line of research, have demonstrated that people make use of mental imagery to make sense of metaphorical expressions (Gibbs & Bogdonovich, 1999; Gibbs & O’Brien, 1990) and engage in mental scenes of actions to interpret metaphorical action phrases (Gibbs, 2006a, 2006b; Gibbs, Gould, & Andric, 2006; Gibbs & Matlock, 2008).",boosting,demonstrated,11,12,,
"The utility of specific and consistent mental images and imagery scenes in metaphorical language understanding, according to these researchers, indicates a direct connection between images and conceptualization of embodied experiences.",boosting,indicates,21,22,,
"Another important dimension is the degree of familiarity/aptness (i.e., the degree of metaphoricity) of the expressions and the context in which they appear.",hedging,appear,25,26,,
"It could be to use a metaphor to start a conversation, to change topic, to maintain the course of communication, or to ‘kill’ (i.e., literalize) a metaphor, as in, I’m not going to kick the bucket next year, even though my wife deliberately leaves buckets everywhere in the house.",hedging,could,1,2,,
"It could be to use a metaphor to start a conversation, to change topic, to maintain the course of communication, or to ‘kill’ (i.e., literalize) a metaphor, as in, I’m not going to kick the bucket next year, even though my wife deliberately leaves buckets everywhere in the house.",self_mention,i,39,40,,
"It could be to use a metaphor to start a conversation, to change topic, to maintain the course of communication, or to ‘kill’ (i.e., literalize) a metaphor, as in, I’m not going to kick the bucket next year, even though my wife deliberately leaves buckets everywhere in the house.",self_mention,my,53,54,,
"Müller’s book, Metaphors, Dead and Alive, Sleeping and Waking: A Dynamic View (2008), has demonstrated that a focus on the production side of metaphor processing is essential to achieving a satisfactory understanding of metaphorical meaning and of meaning in general.",boosting,demonstrated,23,24,,
"Citing Pitts, 8 Glucksberg and McGlone (1999) and Jackendoff (2002), however, argue that senses may be directly retrieved from the lexicon and there is no need for an intermediary basic sense in the understanding of a metaphorical concept.",hedging,may,21,22,,
"Using eye-tracking, Underwood, Schmitt, and Galpin (2004) compared fixation counts and fixation durations for the same lexical item which appears in an idiomatic phrase and in a sentence among native and non-native speakers.",hedging,appears,24,25,,
"It was shown that L2 speakers demonstrated the same type of processing advantage as L1 speakers when processing terminal words although the latter were at an advantage in reading, as shown by fewer and shorter fixations.",boosting,shown,2,3,,
"It was shown that L2 speakers demonstrated the same type of processing advantage as L1 speakers when processing terminal words although the latter were at an advantage in reading, as shown by fewer and shorter fixations.",boosting,demonstrated,6,7,,
"It was shown that L2 speakers demonstrated the same type of processing advantage as L1 speakers when processing terminal words although the latter were at an advantage in reading, as shown by fewer and shorter fixations.",boosting,shown,31,32,,
"However, other studies suggest that there is a difference in the way idiomatic meanings are represented in the mental lexicon of the native speakers and the non-native speakers.",hedging,suggest,4,5,,
"In a priming study with lexical decision tasks, Cieślicka (2006a) revealed that the L1 participants responded faster to targets related to the literal meaning than to those related to figurative meaning, suggesting a difference in their processing of literal and figurative meaning.",hedging,suggesting,35,36,,
"L1 speakers were shown to have a processing advantage for idioms over novel phrases while L2 speakers, even proficient ones, processed the two at a similar speed.",boosting,shown,3,4,,
"Generally, the less proficient learners use more L1 strategies, while the more proficient learners use more L2 strategies (Irujo, 1986; Jin, 2011).",hedging,generally,0,1,,
"Transfer from L1 to the target language has proved to be an effective strategy, especially when the two languages share many features (Boers, 2000b; Irujo, 1986).",boosting,proved,8,9,,
"With this insight into learners’ strategy use, it has been suggested that learners should be trained to process figurative language (Irujo, 1993; Littlemore, 2004, 2009).",hedging,suggested,12,13,,
"Although the effectiveness of these strategies depends on different factors, Littlemore’s findings suggest that the training is worthwhile in helping learners understand new vocabulary, especially with highly imageable words and for students who have an ‘imager’ cognitive style, and prefer to process information in images.",hedging,suggest,15,16,,
Yet it is clear that the process is subject to a great number of variables; the most well-researched ones are discussed below.,boosting,it is clear that,1,5,,
"A learner’s L1 knowledge and culture may influence metaphor processing in the L2; however, the extent, dimensions, causes and effects of this influence are largely unknown.",hedging,may,8,9,,
"Interestingly, learners’ MC in the L1 has been found to correlate with their MC in the L2 (Littlemore, 2010).",attitude,interestingly,0,1,,
"In terms of L2 learners’ metaphoric processing, L1 knowledge seems to be the most-used strategy (Azuma, 2009; Cooper, 1999; Mäntylä, 2004).",hedging,seems,11,12,,
"L1 is generally employed via an indirect process similar to the traditional view of metaphoric processing; in other words, the literal meaning is accessed and rejected before the activation of figurative meaning (e.g., Sadock, 1993; Searle, 1993).",hedging,generally,2,3,,
"Because metaphor is both universal and culturally specific (Kövecses, 2005; Sharifian et al., 2008), a number of configurations of the relationship may occur between conceptual metaphor and metaphorical linguistic expressions between two languages (Boers, 2003; Deignan et al., 1997; Kövecses, 2003).",hedging,may,27,28,,
"Differences in cultural-ideological characteristics and assumptions may often result in the differences in the linguistic instantiations of a conceptual metaphor that may be shared between two languages (Kövecses, 2003), however subtle (Charteris-Black & Ennis, 2001).",hedging,may,6,7,,
"Differences in cultural-ideological characteristics and assumptions may often result in the differences in the linguistic instantiations of a conceptual metaphor that may be shared between two languages (Kövecses, 2003), however subtle (Charteris-Black & Ennis, 2001).",hedging,may,21,22,,
The results showed that identical idioms were the easiest to comprehend and produce for these participants.,boosting,showed,2,3,,
"Finally, cultural differences may cause the L2 learners to misinterpret metaphors in the target language, as in the case of the Bangladeshi participants in Littlemore’s studies (2001c, 2003b).",hedging,may,4,5,,
It is generally assumed that learners’ proficiency can influence their ability to process metaphorical language in an L2.,hedging,generally,2,3,,
"It has been suggested that beginners will have difficulty with figurative language due to the lack of lexical knowledge; advanced learners, who are more skeptical of the acceptability of their interlanguage, will be more hesitant about producing figurative language while learners at intermediate level are those who may actually produce figurative language (Boers, 2004).",hedging,suggested,3,4,,
"It has been suggested that beginners will have difficulty with figurative language due to the lack of lexical knowledge; advanced learners, who are more skeptical of the acceptability of their interlanguage, will be more hesitant about producing figurative language while learners at intermediate level are those who may actually produce figurative language (Boers, 2004).",hedging,may,50,51,,
"Cognitive style has been shown to have an impact on learners’ way of metaphor interpretation (J. Johnson & Rosano, 1993) as well as the speed of interpretation (Littlemore, 2001a).",boosting,shown,4,5,,
Boers and Littlemore’s (2000) experiment shows that imagers were more likely to activate stereotypical mental imagery to explain conceptual metaphors.,boosting,shows,9,10,,
Boers and Littlemore’s (2000) experiment shows that imagers were more likely to activate stereotypical mental imagery to explain conceptual metaphors.,hedging,likely,14,15,,
"Boers, Eyckmans, and Stengers (2006) have also found that high-imager participants generally outperformed their low-imager peers in multiple-choice and gap-filling tasks on L2 idioms.",hedging,generally,15,16,,
"High-imagers, who are more successful in creating relevant interactive images, are more likely to adopt metaphoric extension strategies; verbalisers, on the other hand, were more successful in using contextual clues (Littlemore, 2004).",hedging,likely,14,15,,
"This correlation, however, seems to be unilateral.",hedging,seems,5,6,,
"Reviews by Lindstromberg (1997), Bailey (2003), and Littlemore and Low (2006a), however, have shown that language teaching materials make little reference to metaphor.",boosting,shown,23,24,,
Findings like these should be alarming to those who are concerned about bridging the gap between teaching and research as it shows that teaching and researching remain worlds apart.,boosting,shows,21,22,,
"It is perhaps unrealistic to expect busy teachers to read monographs (e.g., Holme, 2004, 2009; Littlemore, 2009) and apply the theoretical suggestions to the classroom.",hedging,perhaps,2,3,,
The review has also shown a dearth of studies in L2 speakers’ productive metaphor use and in L2 speakers’ underlying mechanisms in producing metaphorical language.,boosting,shown,4,5,,
"One may be a gifted native user of a language, but one’s conscious mind cannot retrieve every detail of daily language use (Hanks, 2013).",hedging,may,1,2,,
"Particularly, the intuitions of the native speaker researcher may not be applicable to the language that L2 learners produce because learners may or may not do so on an intuitive basis (Read & Nation, 2004).",hedging,may,9,10,,
"Particularly, the intuitions of the native speaker researcher may not be applicable to the language that L2 learners produce because learners may or may not do so on an intuitive basis (Read & Nation, 2004).",hedging,may,22,23,,
"Particularly, the intuitions of the native speaker researcher may not be applicable to the language that L2 learners produce because learners may or may not do so on an intuitive basis (Read & Nation, 2004).",hedging,may,24,25,,
They seem to think that you can ask a businessman what his requirements are and get an answer that amounts to a draft system specification.,hedging,seem,1,2,,
"(…) a user may have a deep knowledge of business problems, but knowing little about computers, has no idea how they should be tackled.",hedging,may,5,6,,
"As its name indicates, VIP aims to identify metaphor vehicle terms.",boosting,indicates,3,4,,
"According to this procedure, the analyst first needs to search through a text for incongruous language stretches, which may include idioms, metonymy, and other figurative language types.",hedging,may,20,21,,
"10 In Kittay’s (1987) perspectival account, “metaphor involves a transfer of [syntagmatic and paradigmatic] relations across semantic fields” (p. 289), which entails that metaphor is linguistically incongruous and is a kind of ‘second order’ meaning, determined through the relationship between the Vehicle and the text in which it appears.",hedging,appears,63,64,,
"Before introducing the identification procedure, I will present the unit of analysis that I have adopted for this study.",self_mention,i,6,7,,
"Before introducing the identification procedure, I will present the unit of analysis that I have adopted for this study.",self_mention,i,14,15,,
Words would not make an appropriate candidate for a measurement unit if we are to examine metaphorical language produced by the learners.,self_mention,we,12,13,,
"As a matter of fact, what word means as a unit of analysis is not at all clear-cut (Allwood, Hendrikse, & Ahlsén, 2009; Hanks, 2013; Sinclair, 2004, 2007) and the lexical unit employed by Steen and associates (Dorst, 2011a; Kaal, 2012; Pasma, 2012; Steen et al., 2010) is not as consistent as a first glance might suggest, as shown above.",hedging,might,75,76,,
"As a matter of fact, what word means as a unit of analysis is not at all clear-cut (Allwood, Hendrikse, & Ahlsén, 2009; Hanks, 2013; Sinclair, 2004, 2007) and the lexical unit employed by Steen and associates (Dorst, 2011a; Kaal, 2012; Pasma, 2012; Steen et al., 2010) is not as consistent as a first glance might suggest, as shown above.",hedging,suggest,76,77,,
"As a matter of fact, what word means as a unit of analysis is not at all clear-cut (Allwood, Hendrikse, & Ahlsén, 2009; Hanks, 2013; Sinclair, 2004, 2007) and the lexical unit employed by Steen and associates (Dorst, 2011a; Kaal, 2012; Pasma, 2012; Steen et al., 2010) is not as consistent as a first glance might suggest, as shown above.",boosting,shown,79,80,,
"Indirectness in Steen and associates’ procedures (Steen, 2007; Steen et al., 2010) seems to be a criterion stemming from a different processing perspective – that of text producers.",hedging,seems,18,19,,
This suggests that an incongruity-based procedure would be more intuitively suited to identify metaphorical language from the perspective of text readers.,hedging,suggests,1,2,,
"For example, in my childhood contains the metaphorical word in but the word is so fittingly congruent with the context that it is not even thought of as metaphorical.",self_mention,my,4,5,,
"As shown in Chapter 2, metaphor is psychologically real and is itself a conceptual entity that emerges out of a cognitive process in which features of one conceptual entity (the Vehicle) provide access to and activate another conceptual entity (the Topic).",boosting,shown,1,2,,
"Within the cognitive linguistic approach, the identification of metaphor based on the distinction of literal-metaphorical has been deemed mere convenience (Danesi, 2008; Gibbs, 1994) and proved invalid (Ariel, 2002; Giora, 2002; Lakoff, 1993), psychologically irrelevant (Taylor, 2002; Wilson & Sperber, 2002) and pragmatically implausible (Gibbs & Colston, 2012).",boosting,proved,31,32,,
"Without context support, a linguistic unit that appears to have a clash between its context meaning and its basic sense might not give rise to a metaphoric interpretation.",hedging,appears,8,9,,
"Without context support, a linguistic unit that appears to have a clash between its context meaning and its basic sense might not give rise to a metaphoric interpretation.",hedging,might,21,22,,
Here is an example from MacArthur (2010) in which bump into was used metaphorically to describe a chance encounter but collocated inappropriately with an inanimate object: “Time went by very quickly and I saw my greatest opportunity when I bumped into a poster announcing the arrival of Erasmus grants” (p. 164).,self_mention,i,36,37,,
Here is an example from MacArthur (2010) in which bump into was used metaphorically to describe a chance encounter but collocated inappropriately with an inanimate object: “Time went by very quickly and I saw my greatest opportunity when I bumped into a poster announcing the arrival of Erasmus grants” (p. 164).,self_mention,my,38,39,,
Here is an example from MacArthur (2010) in which bump into was used metaphorically to describe a chance encounter but collocated inappropriately with an inanimate object: “Time went by very quickly and I saw my greatest opportunity when I bumped into a poster announcing the arrival of Erasmus grants” (p. 164).,self_mention,i,42,43,,
"In this section, I have introduced the unit of analysis of the study – the MU – and its conditions of metaphorical meaning, form and usage pattern.",self_mention,i,4,5,,
"In brief, in a learner corpus, an MU is a stretch of text whose meaning is realized by means of a contrast between its contextual meaning and basic sense, and whose form and usage patterns may or may not conform to the target language.",hedging,may,38,39,,
"In brief, in a learner corpus, an MU is a stretch of text whose meaning is realized by means of a contrast between its contextual meaning and basic sense, and whose form and usage patterns may or may not conform to the target language.",hedging,may,40,41,,
"Lakoff (1987a) has actually declared “the death of dead metaphor”, showing the variation in degree of metaphoricity in four dead metaphors: pedigree, dunk, comprehend and grasp (p.146).",boosting,showing,15,16,,
"Extending this, Goatly (1997) describes metaphors along the scale of dead (homonyms), inactive (polysemes) and active metaphors (those of unconventional vehicle terms), showing the process of conventionalization of a particular usage of language in which an active metaphorical use of language becomes ‘tired’, inactive and finally dead.",boosting,showing,33,34,,
"In many cases, even a large corpus fails to show phrases that are idiomatic and common to daily language use (Moon, 1998).",boosting,show,10,11,,
"Following the Pragglejaz Group (2007) and Steen and associates (Dorst, 2011a; Kaal, 2012; Krennmayr, 2011; Steen et al., 2010), I use Macmillan dictionary for this purpose instead.",self_mention,i,31,32,,
"On the other hand, cage in Without literature, we live alone in the cage of our own experiences (Y2–15) has the basic sense of a container made of wire or metal bars and used for keeping birds or animals in and the context meaning of an imaginary confined space.",self_mention,we,10,11,,
"On the other hand, cage in Without literature, we live alone in the cage of our own experiences (Y2–15) has the basic sense of a container made of wire or metal bars and used for keeping birds or animals in and the context meaning of an imaginary confined space.",self_mention,our,17,18,,
